Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2010-10-27,,CHA,W,101,86,41,75,.547,4,15,.267,15,18,.833,7,41,29,12,5,17,18
2,2,2010-10-29,,MEM,L,90,91,34,72,.472,6,18,.333,16,24,.667,8,45,24,7,6,20,22
3,3,2010-10-31,@,LAC,W,99,83,36,77,.468,7,16,.438,20,29,.690,8,41,23,7,7,14,22
4,4,2010-11-03,@,DEN,W,102,101,39,84,.464,7,15,.467,17,19,.895,12,45,22,6,5,14,17
5,5,2010-11-06,,DEN,L,92,103,34,76,.447,4,15,.267,20,26,.769,11,46,12,7,5,21,16
6,6,2010-11-08,,BOS,W,89,87,33,66,.500,6,15,.400,17,20,.850,4,38,20,6,8,19,12
7,7,2010-11-10,@,MEM,W,106,91,46,85,.541,9,25,.360,5,11,.455,11,49,30,8,5,10,19
8,8,2010-11-12,,PHI,W,99,90,35,79,.443,6,22,.273,23,29,.793,16,47,19,10,4,10,20
9,9,2010-11-15,,NOH,W,98,95,34,69,.493,11,27,.407,19,27,.704,8,38,21,3,3,15,18
10,10,2010-11-17,@,NOH,L,97,99,35,69,.507,7,18,.389,20,23,.870,4,35,27,4,6,15,22
11,11,2010-11-19,,CHI,L,83,88,30,75,.400,5,20,.250,18,25,.720,9,34,22,6,5,8,20
12,12,2010-11-20,@,ATL,W,98,93,39,82,.476,6,13,.462,14,16,.875,10,40,27,5,2,13,11
13,13,2010-11-23,,DET,W,88,84,30,78,.385,6,20,.300,22,27,.815,10,42,21,7,7,8,24
14,14,2010-11-24,@,OKC,W,111,103,36,81,.444,9,27,.333,30,34,.882,13,49,23,7,2,12,17
15,15,2010-11-26,@,SAS,W,103,94,39,74,.527,5,16,.313,20,31,.645,10,39,28,9,3,14,22
16,16,2010-11-27,,MIA,W,106,95,40,87,.460,7,17,.412,19,22,.864,13,46,25,8,3,11,23
17,17,2010-11-29,,HOU,W,101,91,39,79,.494,6,16,.375,17,19,.895,9,47,23,4,5,15,18
18,18,2010-12-01,,MIN,W,100,86,36,87,.414,10,24,.417,18,23,.783,11,50,21,12,1,15,20
19,19,2010-12-03,@,UTA,W,93,81,40,76,.526,6,19,.316,7,11,.636,3,37,25,11,4,13,20
20,20,2010-12-04,@,SAC,W,105,103,38,76,.500,5,17,.294,24,29,.828,6,36,23,4,6,11,20
21,21,2010-12-07,,GSW,W,105,100,39,87,.448,7,20,.350,20,27,.741,16,45,22,12,10,16,10
22,22,2010-12-09,,NJN,W,102,89,41,75,.547,4,16,.250,16,19,.842,5,38,31,11,4,15,17
23,23,2010-12-11,,UTA,W,103,97,33,66,.500,14,26,.538,23,28,.821,8,40,24,7,5,19,19
24,24,2010-12-13,,MIL,L,99,103,37,76,.487,5,20,.250,20,27,.741,9,41,28,4,7,13,18
25,25,2010-12-15,,POR,W,103,98,40,74,.541,3,16,.188,20,21,.952,5,36,20,7,4,12,16
26,26,2010-12-17,,PHO,W,106,91,39,86,.453,8,18,.444,20,31,.645,11,54,27,9,4,9,18
27,27,2010-12-20,@,MIA,W,98,96,33,74,.446,8,21,.381,24,28,.857,10,48,19,6,1,14,23
28,28,2010-12-21,@,ORL,W,105,99,38,76,.500,12,26,.462,17,21,.810,4,38,28,5,0,13,18
29,29,2010-12-27,@,OKC,W,103,93,41,84,.488,11,23,.478,10,11,.909,6,43,29,7,2,14,20
30,30,2010-12-28,,TOR,L,76,84,31,75,.413,5,22,.227,9,12,.750,11,35,19,6,6,18,17
31,31,2010-12-30,,SAS,L,93,99,35,82,.427,10,23,.435,13,15,.867,4,35,24,9,5,10,22
32,32,2011-01-01,@,MIL,L,87,99,30,80,.375,9,32,.281,18,22,.818,6,31,16,12,2,12,23
33,33,2011-01-02,@,CLE,W,104,95,40,83,.482,10,27,.370,14,22,.636,11,37,26,7,6,10,13
34,34,2011-01-04,,POR,W,84,81,33,77,.429,8,22,.364,10,13,.769,12,46,22,3,2,14,16
35,35,2011-01-06,,OKC,L,95,99,37,79,.468,6,20,.300,15,20,.750,12,47,18,4,2,15,17
36,36,2011-01-08,,ORL,L,107,117,41,76,.539,12,26,.462,13,17,.765,6,34,29,8,4,17,20
37,37,2011-01-12,@,IND,L,89,102,33,80,.413,9,22,.409,14,19,.737,11,41,21,4,9,12,17
38,38,2011-01-14,@,SAS,L,89,101,36,83,.434,6,13,.462,11,18,.611,8,39,17,5,4,8,24
39,39,2011-01-15,@,MEM,L,70,89,24,74,.324,6,31,.194,16,23,.696,9,38,13,7,3,14,18
40,40,2011-01-17,@,DET,L,89,103,34,73,.466,9,25,.360,12,17,.706,10,31,28,3,2,16,20
41,41,2011-01-19,,LAL,W,109,100,44,80,.550,12,26,.462,9,13,.692,7,35,27,4,2,8,11
42,42,2011-01-20,@,CHI,L,77,82,26,73,.356,7,22,.318,18,22,.818,9,41,16,5,9,15,17
43,43,2011-01-22,@,NJN,W,87,86,26,75,.347,8,21,.381,27,29,.931,11,39,18,11,0,14,24
44,44,2011-01-25,,LAC,W,112,105,37,74,.500,10,24,.417,28,30,.933,11,30,18,5,4,14,24
45,45,2011-01-27,,HOU,W,111,106,41,82,.500,6,16,.375,23,25,.920,7,40,25,6,4,9,24
46,46,2011-01-29,,ATL,W,102,91,36,73,.493,8,21,.381,22,27,.815,8,41,28,6,4,13,17
47,47,2011-01-31,,WAS,W,102,92,34,71,.479,9,22,.409,25,37,.676,13,50,27,2,4,14,21
48,48,2011-02-02,@,NYK,W,113,97,42,84,.500,11,25,.440,18,21,.857,10,54,24,3,4,16,18
49,49,2011-02-04,@,BOS,W,101,97,39,79,.494,8,17,.471,15,17,.882,10,33,22,5,3,15,16
