Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2005-11-02,@,MEM,W,97,78,37,78,.474,7,18,.389,16,21,.762,9,50,19,7,7,19,29
2,2,2005-11-03,,IND,L,102,105,36,75,.480,3,16,.188,27,42,.643,10,41,19,5,8,17,27
3,3,2005-11-05,@,MIL,L,100,105,37,76,.487,10,25,.400,16,25,.640,10,36,22,7,6,17,21
4,4,2005-11-07,,NJN,W,90,89,34,70,.486,5,19,.263,17,24,.708,9,33,21,7,9,13,21
5,5,2005-11-09,@,IND,L,90,95,34,74,.459,3,11,.273,19,28,.679,14,47,19,7,8,22,30
6,6,2005-11-10,,HOU,W,88,84,34,78,.436,7,22,.318,13,21,.619,13,43,15,4,4,14,24
7,7,2005-11-12,,CHA,W,108,99,42,74,.568,9,19,.474,15,24,.625,11,56,26,3,7,27,25
8,8,2005-11-15,,NOK,W,109,102,37,84,.440,11,26,.423,24,28,.857,8,40,23,6,6,12,20
9,9,2005-11-18,,PHI,W,106,96,39,78,.500,9,20,.450,19,26,.731,16,46,20,6,5,19,24
10,10,2005-11-20,@,TOR,L,94,107,37,83,.446,8,27,.296,12,18,.667,9,39,20,5,4,13,27
11,11,2005-11-23,,POR,W,100,79,38,77,.494,9,16,.563,15,17,.882,7,41,18,2,6,11,13
12,12,2005-11-25,,DAL,L,90,103,35,80,.438,0,11,.000,20,29,.690,12,35,12,9,6,12,19
13,13,2005-11-26,@,ORL,L,77,80,26,81,.321,6,21,.286,19,29,.655,19,51,13,6,8,16,28
14,14,2005-11-28,,NYK,W,107,94,35,74,.473,7,18,.389,30,34,.882,11,41,19,7,13,11,16
15,15,2005-11-30,@,ATL,W,96,74,40,75,.533,6,17,.353,10,14,.714,7,41,24,7,3,12,17
16,16,2005-12-02,@,SAC,W,98,87,36,74,.486,11,21,.524,15,18,.833,7,40,23,7,12,20,21
17,17,2005-12-03,@,DEN,L,99,101,36,79,.456,9,25,.360,18,25,.720,12,46,19,4,6,15,23
18,18,2005-12-05,@,LAC,L,89,99,33,82,.402,7,21,.333,16,25,.640,6,37,20,8,7,13,25
19,19,2005-12-07,@,SAS,L,84,98,28,78,.359,5,13,.385,23,28,.821,12,40,16,9,1,17,23
20,20,2005-12-09,,DEN,L,92,100,32,76,.421,6,18,.333,22,29,.759,11,41,18,7,5,16,25
21,21,2005-12-11,,WAS,W,104,101,35,83,.422,6,20,.300,28,45,.622,13,50,15,8,7,16,28
22,22,2005-12-13,@,CHI,W,100,97,39,87,.448,6,13,.462,16,27,.593,13,40,27,8,5,7,28
23,23,2005-12-14,@,MIL,W,100,83,37,80,.463,7,19,.368,19,23,.826,6,43,16,7,8,10,24
24,24,2005-12-16,@,PHI,W,112,105,41,78,.526,9,20,.450,21,29,.724,9,49,26,4,6,14,28
25,25,2005-12-17,@,CLE,L,107,115,42,85,.494,8,22,.364,15,24,.625,12,41,23,5,6,13,18
26,26,2005-12-20,,ATL,W,111,92,40,78,.513,4,11,.364,27,35,.771,12,51,24,5,5,15,30
27,27,2005-12-23,,NJN,L,88,95,30,82,.366,6,19,.316,22,35,.629,8,50,19,5,4,10,27
28,28,2005-12-25,,LAL,W,97,92,36,80,.450,3,12,.250,22,33,.667,15,47,17,6,7,17,27
29,29,2005-12-27,,MIL,W,109,98,37,77,.481,6,21,.286,29,36,.806,9,33,17,9,4,13,23
30,30,2005-12-29,@,DET,L,101,106,42,80,.525,4,13,.308,13,20,.650,10,36,24,5,4,12,25
